City/Town,Report Date,Total Case Count,Total Case Rate,Total Persons Tested,TotalTested Rate,Percent Positive (Last 14 days),,,,,,,,
Abington,07/08/2020,235,1308.39,1994,11101.86,1.07%,,,,,,,,
Acton,07/08/2020,162,682.62,2214,9329.09,0.73%,,,,,,,,
Acushnet,07/08/2020,93,889.66,1103,10551.58,1.04%,,,,,,,,
Adams,07/08/2020,35,422.67,624,7535.60,0.00%,,,,,,,,
Agawam,07/08/2020,464,1622.13,3299,11533.21,2.90%,,,,,,,,
Alford,07/08/2020,<5,*,25,5359.67,0.00%,,,,,,,,
Amesbury,07/08/2020,181,1087.39,1846,11090.17,1.10%,,,,,,,,
Amherst,07/08/2020,97,239.52,2227,5499.05,0.92%,,,,,,,,
Andover,07/08/2020,316,877.41,4057,11264.72,1.66%,,,,,,,,
Aquinnah,07/08/2020,<5,*,68,25647.81,0.00%,,,,,,,,
Arlington,07/08/2020,308,672.36,4633,10113.75,0.35%,,,,,,,,
Ashburnham,07/08/2020,32,509.56,583,9283.58,0.00%,,,,,,,,
Ashby,07/08/2020,15,433.84,267,7722.40,0.00%,,,,,,,,
Ashfield,07/08/2020,<5,*,113,6589.36,0.00%,,,,,,,,
Ashland,07/08/2020,248,1272.27,1980,10157.60,3.60%,,,,,,,,
Athol,07/08/2020,67,559.96,1428,11934.69,1.42%,,,,,,,,
Attleboro,07/08/2020,666,1439.45,4921,10635.91,2.51%,,,,,,,,
Auburn,07/08/2020,216,1309.69,1960,11884.25,1.13%,,,,,,,,
Avon,07/08/2020,74,1689.23,541,12349.64,2.33%,,,,,,,,
Ayer,07/08/2020,142,1757.43,2237,27685.72,7.05%,,,,,,,,
Barnstable,07/08/2020,368,820.60,4637,10339.95,1.08%,,,,,,,,
Barre,07/08/2020,62,1115.56,519,9338.28,0.00%,,,,,,,,
Becket,07/08/2020,15,833.13,149,8275.72,3.57%,,,,,,,,
Bedford,07/08/2020,274,1839.37,4862,32638.79,1.63%,,,,,,,,
Belchertown,07/08/2020,105,659.43,1261,7919.49,0.83%,,,,,,,,
Bellingham,07/08/2020,136,760.78,1523,8519.64,3.73%,,,,,,,,
Belmont,07/08/2020,231,845.96,2535,9283.61,0.84%,,,,,,,,
Berkley,07/08/2020,71,1047.17,709,10456.97,4.82%,,,,,,,,
Berlin,07/08/2020,20,626.32,312,9770.62,1.69%,,,,,,,,
Bernardston,07/08/2020,7,334.77,192,9182.23,3.03%,,,,,,,,
Beverly,07/08/2020,619,1503.64,4640,11271.26,2.28%,,,,,,,,
Billerica,07/08/2020,557,1278.02,4815,11047.87,2.79%,,,,,,,,
Blackstone,07/08/2020,55,608.11,859,9497.61,3.95%,,,,,,,,
Blandford,07/08/2020,<5,*,66,5433.34,0.00%,,,,,,,,
Bolton,07/08/2020,11,217.71,436,8629.25,0.00%,,,,,,,,
Boston,07/08/2020,14160,2037.50,97288,13998.91,2.27%,,,,,,,,
Bourne,07/08/2020,158,755.26,2105,10062.14,1.32%,,,,,,,,
Boxborough,07/08/2020,26,509.05,453,8869.15,1.18%,,,,,,,,
Boxford,07/08/2020,43,557.20,682,8837.39,1.59%,,,,,,,,
Boylston,07/08/2020,20,445.55,433,9646.08,0.00%,,,,,,,,
Braintree,07/08/2020,814,2068.10,5190,13186.07,0.97%,,,,,,,,
Brewster,07/08/2020,103,1039.11,982,9906.85,0.71%,,,,,,,,
Bridgewater,07/08/2020,359,1262.00,4212,14806.49,0.83%,,,,,,,,
Brimfield,07/08/2020,6,161.06,272,7301.19,0.00%,,,,,,,,
Brockton,07/08/2020,4254,4329.85,18000,18320.94,4.87%,,,,,,,,
Brookfield,07/08/2020,19,518.88,275,7510.15,0.00%,,,,,,,,
Brookline,07/08/2020,399,619.72,5745,8922.97,1.06%,,,,,,,,
Buckland,07/08/2020,8,430.00,27,1451.25,0.00%,,,,,,,,
Burlington,07/08/2020,267,965.87,2842,10280.90,0.56%,,,,,,,,
Cambridge,07/08/2020,978,867.13,21074,18684.96,0.67%,,,,,,,,
Canton,07/08/2020,290,1257.33,3415,14806.20,1.08%,,,,,,,,
Carlisle,07/08/2020,18,377.46,421,8828.30,1.90%,,,,,,,,
Carver,07/08/2020,59,484.55,1112,9132.52,1.10%,,,,,,,,
Charlemont,07/08/2020,<5,*,112,9401.88,3.45%,,,,,,,,
Charlton,07/08/2020,83,589.82,1518,10787.28,3.88%,,,,,,,,
Chatham,07/08/2020,19,324.45,678,11577.59,0.93%,,,,,,,,
Chelmsford,07/08/2020,337,936.59,4735,13159.50,1.17%,,,,,,,,
Chelsea,07/08/2020,2955,7845.56,8740,23204.82,7.46%,,,,,,,,
Cheshire,07/08/2020,<5,*,244,8184.09,0.00%,,,,,,,,
Chester,07/08/2020,<5,*,90,6631.64,0.00%,,,,,,,,
Chesterfield,07/08/2020,<5,*,74,6046.57,0.00%,,,,,,,,
Chicopee,07/08/2020,457,801.54,5579,9785.14,2.83%,,,,,,,,
Chilmark,07/08/2020,<5,*,383,49496.88,0.00%,,,,,,,,
Clarksburg,07/08/2020,7,415.82,100,5940.35,0.00%,,,,,,,,
Clinton,07/08/2020,253,1797.48,1898,13484.67,3.61%,,,,,,,,
Cohasset,07/08/2020,27,364.89,618,8351.88,1.68%,,,,,,,,
Colrain,07/08/2020,<5,*,115,7161.10,0.00%,,,,,,,,
Concord,07/08/2020,173,923.90,2987,15951.97,0.85%,,,,,,,,
Conway,07/08/2020,<5,*,167,8613.99,0.00%,,,,,,,,
Cummington,07/08/2020,<5,*,86,10806.56,0.00%,,,,,,,,
Dalton,07/08/2020,16,245.32,626,9598.08,6.17%,,,,,,,,
Danvers,07/08/2020,738,2584.41,4610,16143.82,2.35%,,,,,,,,
Dartmouth,07/08/2020,391,1061.94,4510,12248.97,3.14%,,,,,,,,
Dedham,07/08/2020,409,1507.84,3392,12505.15,1.59%,,,,,,,,
Deerfield,07/08/2020,10,187.53,461,8645.02,0.00%,,,,,,,,
Dennis,07/08/2020,95,718.41,1387,10488.81,0.90%,,,,,,,,
Dighton,07/08/2020,67,853.96,762,9712.24,0.00%,,,,,,,,
Douglas,07/08/2020,48,510.66,708,7532.19,0.76%,,,,,,,,
Dover,07/08/2020,18,345.41,442,8481.74,0.00%,,,,,,,,
Dracut,07/08/2020,473,1464.16,4732,14647.75,2.83%,,,,,,,,
Dudley,07/08/2020,96,775.20,937,7566.30,4.22%,,,,,,,,
Dunstable,07/08/2020,11,330.13,267,8013.09,2.44%,,,,,,,,
Duxbury,07/08/2020,116,766.52,1883,12442.73,1.31%,,,,,,,,
East Bridgewater,07/08/2020,181,1226.59,1563,10592.02,2.02%,,,,,,,,
East Brookfield,07/08/2020,13,579.98,156,6959.79,0.00%,,,,,,,,
East Longmeadow,07/08/2020,274,1619.91,1867,11037.86,0.87%,,,,,,,,
Eastham,07/08/2020,10,215.22,422,9082.32,0.00%,,,,,,,,
